Results for running testme.c: 
Iteration 1: c = (, s = , state = 0
Iteration 109: c = a, s = set, state = 9
Iteration 110: c =  , s = esre, state = 9
Iteration 111: c = [, s = erste, state = 9
Iteration 112: c = ), s = eters, state = 9
Iteration 113: c = ), s = ee, state = 9
Iteration 114: c =  , s = rt, state = 9
Iteration 115: c = ), s = re, state = 9
Iteration 116: c = {, s = ee, state = 9
Iteration 117: c = }, s = rets, state = 9
Iteration 118: c = {, s = reste, state = 9
Iteration 119: c = [, s = eestr, state = 9
Iteration 120: c = }, s = , state = 9
Iteration 121: c = x, s = te, state = 9
Iteration 122: c = x, s = sr, state = 9
Iteration 123: c = }, s = e, state = 9
Iteration 124: c = {, s = st, state = 9
Iteration 125: c = a, s = erst, state = 9
Iteration 126: c =  , s = , state = 9
Iteration 127: c = {, s = , state = 9
Iteration 128: c = (, s = , state = 9
Iteration 129: c = }, s = ret, state = 9
Iteration 130: c = x, s = , state = 9
Iteration 131: c = (, s = rstee, state = 9
Iteration 132: c = }, s = stere, state = 9
Iteration 133: c =  , s = ret, state = 9
Iteration 134: c = a, s = etse, state = 9
Iteration 135: c = a, s = e, state = 9
Iteration 136: c = {, s = rs, state = 9
Iteration 137: c = ), s = ete, state = 9
Iteration 138: c =  , s = reets, state = 9
Iteration 139: c = x, s = , state = 9
Iteration 140: c = (, s = eert, state = 9
Iteration 141: c = ], s = etesr, state = 9
Iteration 142: c = }, s = r, state = 9
Iteration 143: c = {, s = tes, state = 9
Iteration 144: c = }, s = seer, state = 9
Iteration 145: c = a, s = sre, state = 9
Iteration 146: c = ), s = eetrs, state = 9
Iteration 147: c = {, s = stree, state = 9
Iteration 148: c = ), s = esetr, state = 9
Iteration 149: c = {, s = tree, state = 9
Iteration 150: c = ), s = ere, state = 9
Iteration 151: c = [, s = e, state = 9
Iteration 152: c = ), s = rtee, state = 9
Iteration 153: c = a, s = st, state = 9
Iteration 154: c = a, s = srt, state = 9
Iteration 155: c = ), s = erset, state = 9
Iteration 156: c = [, s = ee, state = 9
Iteration 157: c = [, s = e, state = 9
Iteration 158: c = }, s = r, state = 9
Iteration 159: c = (, s = eerst, state = 9
Iteration 160: c = (, s = ere, state = 9
Iteration 161: c = x, s = stere, state = 9
Iteration 162: c = [, s = r, state = 9
Iteration 163: c = ), s = , state = 9
Iteration 164: c = [, s = rt, state = 9
Iteration 165: c = {, s = erets, state = 9
Iteration 166: c = [, s = tsere, state = 9
Iteration 167: c = a, s = rtese, state = 9
Iteration 168: c = {, s = esr, state = 9
Iteration 169: c =  , s = rets, state = 9
Iteration 170: c = {, s = reet, state = 9
Iteration 171: c = [, s = t, state = 9
Iteration 172: c =  , s = trese, state = 9
Iteration 173: c = (, s = s, state = 9
Iteration 174: c = ], s = s, state = 9
Iteration 175: c = }, s = tr, state = 9
Iteration 176: c = ), s = , state = 9
Iteration 177: c = ), s = esetr, state = 9
Iteration 178: c =  , s = e, state = 9
Iteration 179: c = [, s = srtee, state = 9
Iteration 180: c = ), s = ee, state = 9
Iteration 181: c = a, s = , state = 9
Iteration 182: c = (, s = et, state = 9
Iteration 183: c = {, s = es, state = 9
Iteration 184: c = }, s = e, state = 9
Iteration 185: c = ], s = r, state = 9
Iteration 186: c =  , s = , state = 9
Iteration 187: c = {, s = , state = 9
Iteration 188: c = ), s = tese, state = 9
Iteration 189: c = a, s = eer, state = 9
Iteration 190: c = {, s = ertes, state = 9
Iteration 191: c = ], s = , state = 9
Iteration 192: c = }, s = rs, state = 9
Iteration 193: c = }, s = eerts, state = 9
Iteration 194: c = x, s = t, state = 9
Iteration 195: c = [, s = etrs, state = 9
Iteration 196: c = x, s = , state = 9
Iteration 197: c = ), s = tes, state = 9
Iteration 198: c = {, s = , state = 9
Iteration 199: c = }, s = sreet, state = 9
Iteration 200: c = {, s = set, state = 9
Iteration 201: c = {, s = ee, state = 9
Iteration 202: c = [, s = tree, state = 9
Iteration 203: c = }, s = e, state = 9
Iteration 204: c = {, s = srte, state = 9
Iteration 205: c = ), s = eer, state = 9
Iteration 206: c = ), s = , state = 9
Iteration 207: c = [, s = , state = 9
Iteration 208: c =  , s = ese, state = 9
Iteration 209: c = {, s = eets, state = 9
Iteration 210: c = ], s = teres, state = 9
Iteration 211: c = }, s = , state = 9
Iteration 212: c = a, s = , state = 9
Iteration 213: c = ], s = , state = 9
Iteration 214: c = x, s = e, state = 9
Iteration 215: c =  , s = es, state = 9
Iteration 216: c = ], s = , state = 9
Iteration 217: c =  , s = , state = 9
Iteration 218: c = x, s = see, state = 9
Iteration 219: c = x, s = , state = 9
Iteration 220: c = ], s = t, state = 9
Iteration 221: c = }, s = reet, state = 9
Iteration 222: c = (, s = e, state = 9
Iteration 223: c = ], s = se, state = 9
Iteration 224: c = }, s = erte, state = 9
Iteration 225: c = a, s = , state = 9
Iteration 226: c = a, s = retes, state = 9
Iteration 227: c =  , s = , state = 9
Iteration 228: c = a, s = rtsee, state = 9
Iteration 229: c = {, s = tse, state = 9
Iteration 230: c = a, s = s, state = 9
Iteration 231: c = (, s = sr, state = 9
Iteration 232: c = }, s = estre, state = 9
Iteration 233: c = }, s = se, state = 9
Iteration 234: c = a, s = rtse, state = 9
Iteration 235: c = }, s = stree, state = 9
Iteration 236: c = [, s = e, state = 9
Iteration 237: c = ], s = tres, state = 9
Iteration 238: c = ), s = e, state = 9
Iteration 239: c = ), s = est, state = 9
Iteration 240: c = {, s = trees, state = 9
Iteration 241: c = (, s = rst, state = 9
Iteration 242: c = [, s = ese, state = 9
Iteration 243: c = {, s = re, state = 9
Iteration 244: c = }, s = sre, state = 9
Iteration 245: c = (, s = rtees, state = 9
Iteration 246: c = x, s = , state = 9
Iteration 247: c = [, s = ert, state = 9
Iteration 248: c = ), s = , state = 9
Iteration 249: c = }, s = e, state = 9
Iteration 250: c = a, s = rtese, state = 9
Iteration 251: c =  , s = sre, state = 9
Iteration 252: c = (, s = , state = 9
Iteration 253: c = (, s = e, state = 9
Iteration 254: c = ], s = ret, state = 9
Iteration 255: c = [, s = e, state = 9
Iteration 256: c = {, s = , state = 9
Iteration 257: c = a, s = eters, state = 9
Iteration 258: c = {, s = t, state = 9
Iteration 259: c = [, s = , state = 9
Iteration 260: c =  , s = ee, state = 9
Iteration 261: c = ], s = t, state = 9
Iteration 262: c =  , s = erts, state = 9
Iteration 263: c = ), s = res, state = 9
Iteration 264: c = ), s = tesre, state = 9
Iteration 265: c = x, s = see, state = 9
Iteration 266: c =  , s = s, state = 9
Iteration 267: c = (, s = sre, state = 9
Iteration 268: c =  , s = ster, state = 9
Iteration 269: c = }, s = retes, state = 9
Iteration 270: c = (, s = s, state = 9
Iteration 271: c = a, s = srete, state = 9
Iteration 272: c = {, s = eetr, state = 9
Iteration 273: c = a, s = eet, state = 9
Iteration 274: c = {, s = ste, state = 9
Iteration 275: c = a, s = estr, state = 9
Iteration 276: c = a, s = eser, state = 9
Iteration 277: c = }, s = retes, state = 9
Iteration 278: c = x, s = ee, state = 9
Iteration 279: c = ], s = est, state = 9
Iteration 280: c = (, s = ester, state = 9
Iteration 281: c = [, s = , state = 9
Iteration 282: c = {, s = e, state = 9
Iteration 283: c = [, s = see, state = 9
Iteration 284: c = (, s = , state = 9
Iteration 285: c = a, s = t, state = 9
Iteration 286: c = ), s = es, state = 9
Iteration 287: c = [, s = seer, state = 9
Iteration 288: c = x, s = , state = 9
Iteration 289: c = (, s = sre, state = 9
Iteration 290: c = ), s = esret, state = 9
Iteration 291: c = [, s = ester, state = 9
Iteration 292: c = (, s = e, state = 9
Iteration 293: c = a, s = t, state = 9
Iteration 294: c = a, s = etsr, state = 9
Iteration 295: c = x, s = e, state = 9
Iteration 296: c =  , s = , state = 9
Iteration 297: c = x, s = tesr, state = 9
Iteration 298: c = x, s = , state = 9
Iteration 299: c = (, s = e, state = 9
Iteration 300: c = [, s = s, state = 9
Iteration 301: c = }, s = eert, state = 9
Iteration 302: c = {, s = srt, state = 9
Iteration 303: c = x, s = r, state = 9
Iteration 304: c = ), s = r, state = 9
Iteration 305: c = ], s = e, state = 9
Iteration 306: c = [, s = sr, state = 9
Iteration 307: c = ], s = seetr, state = 9
Iteration 308: c =  , s = eset, state = 9
Iteration 309: c = [, s = ees, state = 9
Iteration 310: c = [, s = e, state = 9
Iteration 311: c =  , s = te, state = 9
Iteration 312: c = [, s = rsee, state = 9
Iteration 313: c = ], s = eerts, state = 9
Iteration 314: c = ), s = s, state = 9
Iteration 315: c = ), s = t, state = 9
Iteration 316: c = (, s = rte, state = 9
Iteration 317: c = [, s = , state = 9
Iteration 318: c = {, s = eret, state = 9
Iteration 319: c = ), s = , state = 9
Iteration 320: c =  , s = rete, state = 9
Iteration 321: c = }, s = r, state = 9
Iteration 322: c =  , s = s, state = 9
Iteration 323: c = [, s = eert, state = 9
Iteration 324: c = ], s = t, state = 9
Iteration 325: c =  , s = etsre, state = 9
Iteration 326: c = x, s = reet, state = 9
Iteration 327: c = ], s = s, state = 9
Iteration 328: c = {, s = s, state = 9
Iteration 329: c = (, s = , state = 9
Iteration 330: c = (, s = ers, state = 9
Iteration 331: c = [, s = , state = 9
Iteration 332: c = x, s = , state = 9
Iteration 333: c = ), s = te, state = 9
Iteration 334: c = a, s = s, state = 9
Iteration 335: c = [, s = sre, state = 9
Iteration 336: c = ), s = tser, state = 9
Iteration 337: c =  , s = rseet, state = 9
Iteration 338: c = x, s = , state = 9
Iteration 339: c = a, s = erse, state = 9
Iteration 340: c = }, s = rte, state = 9
Iteration 341: c =  , s = stree, state = 9
Iteration 342: c = [, s = tre, state = 9
Iteration 343: c = x, s = rstee, state = 9
Iteration 344: c = a, s = te, state = 9
Iteration 345: c =  , s = e, state = 9
Iteration 346: c = (, s = et, state = 9
Iteration 347: c = }, s = stere, state = 9
Iteration 348: c = }, s = seert, state = 9
Iteration 349: c = ), s = eesr, state = 9
Iteration 350: c = ), s = e, state = 9
Iteration 351: c = a, s = t, state = 9
Iteration 352: c =  , s = tree, state = 9
Iteration 353: c = {, s = rets, state = 9
Iteration 354: c = a, s = se, state = 9
Iteration 355: c = (, s = stre, state = 9
Iteration 356: c = {, s = te, state = 9
Iteration 357: c = ], s = esrte, state = 9
Iteration 358: c = ), s = , state = 9
Iteration 359: c = {, s = set, state = 9
Iteration 360: c = a, s = eert, state = 9
Iteration 361: c = a, s = eetrs, state = 9
Iteration 362: c = ), s = ts, state = 9
Iteration 363: c = (, s = , state = 9
Iteration 364: c = ], s = str, state = 9
Iteration 365: c = }, s = ere, state = 9
Iteration 366: c = a, s = t, state = 9
Iteration 367: c =  , s = , state = 9
Iteration 368: c = a, s = esre, state = 9
Iteration 369: c = {, s = ee, state = 9
Iteration 370: c = x, s = eets, state = 9
Iteration 371: c =  , s = rete, state = 9
Iteration 372: c = [, s = rs, state = 9
Iteration 373: c = [, s = stree, state = 9
Iteration 374: c = x, s = ste, state = 9
Iteration 375: c = }, s = rte, state = 9
Iteration 376: c = (, s = tseer, state = 9
Iteration 377: c =  , s = e, state = 9
Iteration 378: c = {, s = , state = 9
Iteration 379: c = ), s = re, state = 9
Iteration 380: c = {, s = ee, state = 9
Iteration 381: c = (, s = , state = 9
Iteration 382: c = x, s = teers, state = 9
Iteration 383: c = x, s = , state = 9
Iteration 384: c = }, s = seret, state = 9
Iteration 385: c = }, s = , state = 9
Iteration 386: c = {, s = srt, state = 9
Iteration 387: c = [, s = rets, state = 9
Iteration 388: c = ], s = teser, state = 9
Iteration 389: c = ], s = , state = 9
Iteration 390: c = ], s = str, state = 9
Iteration 391: c =  , s = e, state = 9
Iteration 392: c = x, s = ertes, state = 9
Iteration 393: c = ], s = e, state = 9
Iteration 394: c = x, s = te, state = 9
Iteration 395: c = ], s = ets, state = 9
Iteration 396: c = [, s = , state = 9
Iteration 397: c = {, s = e, state = 9
Iteration 398: c = a, s = , state = 9
Iteration 399: c = {, s = ete, state = 9
Iteration 400: c = a, s = trse, state = 9
Iteration 401: c =  , s = str, state = 9
Iteration 402: c = [, s = reset, state = 9
error Function 'main'
Lines executed:75.00% of 4
No branches
Calls executed:100.00% of 3

Function 'testme'
Lines executed:100.00% of 23
Branches executed:100.00% of 50
Taken at least once:94.00% of 50
Calls executed:100.00% of 5

Function 'inputString'
Lines executed:100.00% of 12
Branches executed:100.00% of 4
Taken at least once:100.00% of 4
Calls executed:100.00% of 1

Function 'inputChar'
Lines executed:100.00% of 3
No branches
Calls executed:100.00% of 1

File 'testme.c'
Lines executed:97.62% of 42
Branches executed:100.00% of 54
Taken at least once:94.44% of 54
Calls executed:100.00% of 10
Creating 'testme.c.gcov'

